Nome,Acervo,Add,Arquivos e mídia,Coleção,Contexto Historico,Data de Produção,Dimensões,Doador,Estado de Conservação,Local de Origem,Material,Nº de Inventário,Período/Época,Responsável,Técnica,URL,URL Adicional
Cruzeiro Real (1993),Coleção Numismática,No,Metadados/17072025-_MG_6683.jpg,Sistema monetário,"O cruzeiro real foi instituído em 1993, com a retirada de três zeros da moeda anterior. Algumas das cédulas existentes foram reaproveitadas durante o período de transição, recebendo um carimbo com o novo valor.",,,,Excelente,Brasil,Papel-moeda,,1993,,Impressão em papel; carimbo de revalorização,https://drive.google.com/drive/folders/1y0QvIX_GApCNEodKoP5itWuElOAwz5pc?usp=drive_link,
Real (1994 até hoje),Coleção Numismática,No,,Sistema monetário,"Criado em julho de 1994 como parte do Plano Real, o real surgiu com o objetivo de estabilizar a economia e conter a hiperinflação. Suas cédulas passaram a exibir animais da fauna brasileira em um dos lados e a efígie da República no outro, substituindo a antiga tradição de retratar heróis nacionais, prática dificultada pelas frequentes mudanças monetárias dos anos anteriores.",,,,Excelente,Brasil,Papel-moeda,,1994 – atualidade,,"
Impressão em papel; técnicas modernas de segurança gráfica",,
Real Império (1833–1888),Coleção Numismática,Yes,Metadados/17072025-_MG_6658_(1).jpg,Sistema monetário,"As primeiras cédulas emitidas no Brasil durante o período imperial seguiam o sistema monetário português. A moeda, chamada de ""real"", era popularmente conhecida como “réis”. Essas emissões representam o início da circulação de papel-moeda no país.",,,,Excelente,Brasil,Papel-moeda,,1833–1888,,Impressão em papel,https://drive.google.com/drive/folders/1y_vaM9FUgv8VUYBFQMHPYSgrnD9qvDPh?usp=drive_link,
Real República (1889–1942),Coleção Numismática,Yes,"Metadados/17072025-_MG_6661_(1).jpg, Metadados/17072025-_MG_6663_(1).jpg, Metadados/17072025-_MG_6665_(1).jpg",Sistema monetário,"Após a Proclamação da República, a moeda brasileira continuou sendo o real, agora emitido com novas cédulas. O mil-réis se tornou a forma mais comum de referência, já que representava mil dos antigos reais do Império. O valor de um mil-réis equivalia ao “conto de réis”, unidade usada para grandes valores, correspondente a um milhão de réis imperiais.",,,,Excelente,Brasil,Papel-moeda,,1889–1942,,Impressão em papel,https://drive.google.com/drive/folders/1iCrtfOiuMx8QNELx9urIhVfZK64wYOYP?usp=drive_link,
Pistola de percussão,Acervo Militar,Yes,Metadados/20251215_161739.heic,"Armamentos, Balística, Militar","Pistola de percussão (sistema caplock) com carregamento pela boca (antecarga). Este mecanismo representou um avanço tecnológico sobre as antigas armas de pederneira, garantindo um disparo mais confiável, especialmente em dias úmidos (algo crucial no clima de Santa Catarina). ",1820–1850,Aprox. 30 a 40 cm de comprimento.,,Bom,Brasil,"Madeira (coronha), Latão (chapa da fechadura e guarda-mato) e Ferro/Aço (cano e cão).",,Primeira metade do Século XIX,,Armaria artesanal ou semi-industrial (Forjaria e Marcenaria fina).,https://drive.google.com/drive/folders/1qjvjYFA_SdnJ60P3spiLxgzW6bu7NSZz?usp=drive_link,
Cartuchos,Acervo Militar,Yes,Metadados/20251215_161817.heic,"Armamentos, Balística, Militar","Conjunto didático de cartuchos de munição fabricados pela CBC (empresa fundada em 1926, estratégica para a defesa nacional), ilustrando a variedade de calibres utilizados no século passado.",Meados do Século XX (1930–1970).,"Dimensões: Variadas.
  Munição curta: Aprox. 2,5 a 3,5 cm.    
  Munição longa: Aprox. 7 a 8 cm.",,Bom,Brasil,Latão (estojo) e liga de Chumbo/Cobre (projétil).,,Século XX,,Estampagem e montagem industrial (Prensagem).,https://drive.google.com/drive/folders/1_mCN6bo1Wf0-4gSqu84kXwRNBe-hZrqE?usp=drive_link,
Projéteis de artilharia,Acervo Militar,No,"Metadados/20251215_162158.heic, Metadados/20251215_162202.heic, Metadados/20251215_162206.heic, Metadados/20251215_162211.heic","Armamentos, Balística, Militar","Par de balas de canhão maciças (conhecidas tecnicamente como ""Bala Rasa""). Diferente dos projéteis modernos que explodem, estas esferas causavam dano puramente pelo impacto cinético, destinadas a quebrar o casco de navios inimigos ou derrubar muralhas.",Entre 1700 e 1860 (Estimativa).,Diâmetro estimado entre 10 e 15 cm,,,Indeterminado,Ferro Fundido.,,Séculos XVIII a XIX.,,Fundição em molde de areia (Técnica tradicional de municiamento de artilharia antiga).,https://drive.google.com/drive/folders/1GRQFcW0qyfUl5znHyQg7BcW_Oj8c2EE8?usp=drive_link,
Espingarda de percussão,Acervo Militar,No,,"Armamentos, Militar"," Espingarda de percussão com sistema de antecarga (conhecida popularmente como ""espingarda de socar"" ou ""pica-pau""). O carregamento é feito inserindo a pólvora e o projétil pela boca do cano, socando-os com uma vareta, e o disparo ocorre através da detonação de uma espoleta externa. Embora fabricada no século XX, esta peça utiliza uma tecnologia tecnológica anterior (século XIX). ",Século XX,Aprox. 100 a 120 cm de comprimento total (estimado).,,Regular,Brasil,Ferro (cano e mecanismo) e Madeira (coronha/fuste).,,Primeira metade do Século XX,,Forjaria e marcenaria,,
Medalhas,Acervo Militar,Yes,Metadados/20251215_162000.heic,"Condecorações, Militar",Conjunto de medalhas pendentes que representam a trajetória do militar.,,Aprox. 8cm de altura cada medalha.,,Bom,,Bronze/Metal esmaltado e fita de gorgorão (tecido).,,Década de 1940/1950.,,Cunhagem (metal) e tecelagem (fitas).,https://drive.google.com/drive/folders/129TDasnOPSRn-DB1oR0v_GLGoS7JwLiQ?usp=drive_link,
Projeteis de artilharia,Acervo Militar,No,,"Armamentos, Balística, Militar"," Par de projéteis de artilharia de 37mm, do tipo perfurante cinético (sólidos, sem carga explosiva), expostos sob cúpula de vidro. Este calibre foi amplamente empregado em canhões de tiro rápido e antitanque durante os conflitos da Era Vargas (como as Revoluções de 1930 e 1932), períodos que impactaram diretamente a movimentação de tropas em Santa Catarina. A peça integra o acervo da Sala Militar, dialogando com a própria história do Solar da família Ferreira de Mello, que no século XIX abrigou a Guarda Nacional e serviu de base para forças de segurança locais. 

",Século XX,Calibre 37mm,,Regular,Brasil,Aço sólido,,Século XX,,Fundição e Usinagem,,
Conjunto de Armas Brancas,Acervo Militar,No,,"Armamentos, Militar","A vitrine contém dois tipos de armas distintas: Sabre: A espada longa de lâmina ligeiramente curva. É usada por oficiais em cerimônias solenes. O punho geralmente tem o desenho de uma cabeça de leão ou motivos navais. Espadim: A peça menor e reta. Na tradição militar, o espadim é o símbolo da ""alma do cadete"" ou a honra do oficial em formação, mas também usado em trajes de gala específicos.",,A maior tem aprox. 90cm (lâmina curva). Já a menor tem aprox. 40cm (lâmina reta).,,Regular,,"Aço (lâminas), Latão (guarnições douradas), Couro (bainhas) e possivelmente Marfim ou Baquelite (cabos).",,Século XX,,"Forjaria, fundição e ourivesaria.",,
Fuzil Alemão,Acervo Militar,No,,"Armamentos, Militar","Trata-se do Fuzil de Comissão Modelo 1888 (Gewehr 88). Esta arma representa um marco tecnológico: foi uma das primeiras a utilizar cartuchos com ""pólvora sem fumaça"" e o calibre 7x57mm (ou 7,92mm original), conferindo maior alcance e precisão.",1891,Aprox. 124 cm de comprimento total,,Bom,,Aço (cano e mecanismos) e Madeira de nogueira ou similar (coronha e fuste).,,Final do Século XIX,,Usinagem industrial de precisão e armaria clássica.,,
Charrete Trole,Ofícios do Passado,No,Metadados/temp_1772567818283.jpg,Transporte,"Charrete de tração animal utilizada para o transporte de até dois passageiros e um cocheiro. Pertenceu ao coronel Américo, importante latifundiário da região do bairro de Barreiros. Representa um meio de transporte característico do início do século XX, comum em áreas rurais e semiurbanas.","Ano aproximado de fabricação: 1910
",,,Excelente,,,,Início do século XX,Proprietária: Coronel Américo,,https://drive.google.com/file/d/10v4SPPola_vPhRux978zzux9a0uTMhCz/view?usp=drive_link,
Tenente Leovegildo Pinheiro,Acervo Militar,Yes,"Metadados/20251215_162026.heic, Metadados/20251215_162012.heic","Documento Textual, Militar, Registro Histórico","Nascido em 1911 na cidade de Belém do Pará. Ingressou aos 16 anos na Marinha de Guerra do Brasil (como Grumette). Aos 20 anos foi para a  Escola de Aprendizes Marinheiros em Florianópolis, que na época localizava-se embaixo da ponte Hercílio Luz. Aos 24 anos casou-se com a josefense Elza Bunn Pinheiro e teve 9 filhos.
Durante a Segunda Guerra Mundial serviu nossa Pátria indo para a Itália fazendo o patrulhamento do comboio da costa brasileira.
Após entrar na reserva, em 1950, optou por estabelecer-se em São José - SC.

Costumava dizer:
""A Marinha foi sua segunda mãe e a cidade São José a sua cidade do coração.”",1911,,,,Belém do Pará,,,Século XX,,,https://drive.google.com/drive/folders/1yxlIYaXjz3dw4TG64KcozEy6G8fY0yZW?usp=drive_link,
Traje do Imperador da Festa do Divino,Patrimônio Material/Cultura,No,Metadados/Traje_do_Imperador_do_Divino(1).heic,"Confecção, Patrimônio Material, Religioso, Têxtil","  • Traje cerimonial utilizado pelo Imperador do Divino Espírito Santo durante as festas religiosas de origem açoriana.
  • O traje é composto por casaca vermelha ricamente bordada em dourado, punhos rendados e chapéu com pluma, simbolizando a solenidade e a importância da figura do imperador na celebração.
  • Nas festas do Divino, o imperador é escolhido pela comunidade para representar a devoção e a partilha, conduzindo procissões e atos religiosos.
  • A peça preserva a memória da religiosidade popular e reforça a identidade cultural açoriana, unindo fé, tradição e estética cerimonial.
",,,,Excelente,São José - SC,"Tecido bordado, rendas, pluma",,,,"Costura artesanal, bordado em dourado, aplicação de rendas e plumas",https://drive.google.com/file/d/1X0dWBSsjX7ru8CrCqPmCqq3kUhlzx41T/view?usp=drivesdk,
Renda de Bilro (Artesanato Típico),Patrimônio Material/Cultura,No,Metadados/Renda_de_Bilro_(Artesanato_Tpico)_(1).jpg,"Artesanato, Açoriano, Patrimônio Material, Registro Histórico","  • Conjunto de utensílios utilizados na confecção da Renda de Bilro, técnica artesanal de origem açoriana que se mantém viva em comunidades do litoral catarinense.
  • A prática consiste em entrelaçar fios com o auxílio de bilros de madeira sobre uma almofada cilíndrica, criando rendas delicadas e complexas.
  • A renda era tradicionalmente usada em roupas, enxovais e peças decorativas, simbolizando habilidade manual, paciência e transmissão cultural entre gerações.
  • É considerada patrimônio cultural imaterial, mas também se materializa em instrumentos como almofadas, bilros e suportes, como este conjunto.
",,,,,São José - SC,"Madeira, tecido, fios de algodão/linho",,,,"Artesanato manual, entrelaçamento de fios com bilros sobre almofada cilíndrica",https://drive.google.com/file/d/174_fP28TOSGzLa5dixl-cnAf_UgPoNHL/view?usp=drive_link,
Procissão do Senhor dos Passos,Patrimônio Material/Cultura,No,Metadados/Procisso_do_Senhor_dos_Passos.jpg,"Artesanato, Açoriano, Cerâmica, Escultura, Olaria, Religioso","  • Escultura em argila representando a Procissão do Senhor dos Passos, uma das manifestações religiosas mais tradicionais da cultura açoriana em Santa Catarina.
  • A procissão simboliza a Paixão de Cristo e mobiliza a comunidade em atos de fé e devoção, reforçando a identidade religiosa e cultural de São José.
  • A obra retrata os carregadores levando a imagem de Cristo coroado de espinhos e com a cruz, destacando o caráter coletivo e devocional da celebração.
Essa representação artística preserva a memória da religiosidade popular e valoriza o patrimônio imaterial por meio da arte material.
",,,,Excelente,São José - SC,Argila modelada e pintada,,,,"Modelagem em argila, pintura artesanal",https://drive.google.com/file/d/1IBOsz3rI9V1EjYb3KXOVm4pg-oR-Mfok/view?usp=drive_linkk,
Pescaria,Patrimônio Material/Cultura,No,Metadados/Pescador.jpg,"Artesanato, Açoriano, Escultura, Olaria, Religioso","  • Escultura em terracota representando um pescador em sua canoa, atividade fundamental para a subsistência e economia das comunidades açorianas do litoral catarinense.
  • A pesca artesanal é uma prática transmitida entre gerações, que integra o cotidiano e a identidade cultural da região.
  • A obra valoriza o trabalho do pescador como símbolo da ligação entre o homem e o mar, reforçando a importância da tradição marítima açoriana.
",,,,Excelente,São José - SC,Terracota (barro cozido),,,,"Modelagem em barro, escultura artesanal, queima em forno",https://drive.google.com/file/d/1jhaBPNpQHgAWiJyKFQuTaB6fBpJEO61c/view?usp=drivesdk,
Pau de Fita,Patrimônio Material/Cultura,No,Metadados/Pau_de_Fita.jpg,"Artesanato, Açoriano, Cerâmica, Escultura, Olaria","  • Conjunto de figuras em cerâmica representando a dança popular Pau de Fita, tradição de origem açoriana que se mantém viva em diversas comunidades catarinenses.
  • A dança é realizada em torno de um mastro central com fitas coloridas, que os participantes entrelaçam em movimentos coreografados, simbolizando união, alegria e celebração comunitária.
  • A obra, assinada por Myllene Machado de Albuquerque, valoriza a memória folclórica e reforça a transmissão cultural entre gerações por meio da arte popular.
",,,,Excelente,São José - SC,Argila modelada e pintada,,,,"Modelagem em argila, pintura artesanal
",https://drive.google.com/file/d/1EWnemtBP8L0mIeYCpCT0ziJvKIcoeAQo/view?usp=drivesdk,
Jovem Oleiro,Patrimônio Material/Cultura,No,Metadados/Oleiro.jpg,"Artesanato, Açoriano, Cerâmica, Escultura, Olaria","  • Escultura em terracota representando um oleiro em sua oficina, moldando peças de barro sobre a roda de oleiro.
  • A obra retrata a prática tradicional da olaria, atividade fundamental para a vida cotidiana das comunidades açorianas, responsável pela produção de utensílios domésticos como panelas, jarras e potes.
  • Assinada por Lourival Medeiros em 2015, a peça valoriza a memória do trabalho artesanal e preserva o saber transmitido entre gerações.
  • É um testemunho da importância da cerâmica utilitária e artística na cultura açoriana de São José.
",2015,,,Excelente,São José - SC,Terracota (barro cozido),,Século XXI,,"Modelagem em barro, escultura artesanal, queima em forno",https://drive.google.com/file/d/11kqYfeOMrRETP6iQkBpvzPWUKHPuTagM/view?usp=sharing,
Igreja Matriz,Patrimônio Material/Cultura,No,Metadados/Igreja_Matriz.jpg,"Artesanato, Açoriano, Cerâmica, Escultura, Olaria, Religioso","  • Maquete artesanal da Igreja Matriz de São José, construída em escala reduzida com técnica de modelagem em placa de argila.
  • A Igreja Matriz é um dos principais símbolos da colonização açoriana em Santa Catarina, destacando-se pela sua arquitetura típica e relevância religiosa e comunitária.
  • A obra do artesão Luciano da Silva preserva e valoriza a memória arquitetônica e cultural da cidade, permitindo que visitantes compreendam a importância histórica do templo e a tradição da cerâmica como expressão artística.",,,,Excelente,São José - SC,"Argila modelada, pintura artesanal, base em resina",,,,"Modelagem em placa de argila, pintura manual, composição arquitetônica em escala",https://drive.google.com/file/d/1YsOovJqQyIJ8VrIz2lPYK32sKlC5x7Cl/view?usp=drive_link,
